    79/199    0.956G   0.04119   0.02488         0   0.06607         5       640    0.5356         1    0.9956    0.7123   0.01297   0.01494         0
    80/199    0.956G   0.03526   0.02197         0   0.05723        10       640    0.6527         1    0.9957    0.8378   0.01537   0.01173         0
    81/199    0.956G   0.04123   0.02157         0    0.0628         5       640    0.5854         1    0.9958    0.8008   0.01294   0.01116         0
    82/199    0.956G   0.03189   0.02368         0   0.05557         4       640    0.9974         1    0.9959    0.8926  0.009873   0.01093         0
    83/199    0.956G   0.03634   0.02144         0   0.05778         6       640    0.9974         1    0.9961    0.8031    0.0141    0.0119         0
    84/199    0.956G   0.03512   0.02122         0   0.05634        16       640    0.9974         1    0.9962    0.8541  0.008895   0.01066         0
    85/199    0.956G   0.03312   0.01922         0   0.05235         7       640    0.9974         1    0.9963    0.9009   0.01156   0.01103         0
    86/199    0.956G   0.03588   0.02436         0   0.06024         6       640    0.9973         1    0.9963    0.8649  0.009677   0.01033         0
    87/199    0.956G   0.03668   0.02472         0   0.06141        15       640    0.9973         1    0.9963    0.9116  0.007328  0.009737         0
    88/199    0.956G   0.03718   0.02703         0   0.06421        16       640    0.9974         1    0.9963    0.8887     0.014    0.0123         0
    89/199    0.956G    0.0291   0.02387         0   0.05296        12       640    0.9974         1    0.9963    0.9848  0.009417   0.01103         0
    90/199    0.956G   0.03027    0.0217         0   0.05197         6       640    0.8399         1    0.9961    0.9333   0.01217   0.01162         0
    91/199    0.956G   0.03812   0.02489         0   0.06302        10       640    0.9974         1    0.9959    0.7819   0.01423   0.01211         0
    92/199    0.956G   0.03438   0.02248         0   0.05686         6       640    0.9974         1    0.9962    0.8547  0.009989    0.0101         0
    93/199    0.956G   0.03182   0.02369         0    0.0555         6       640    0.9974         1    0.9959    0.8762    0.0107   0.01327         0
    94/199    0.956G   0.02772   0.02566         0   0.05337        12       640    0.9974         1    0.9961    0.8998  0.008443  0.009127         0
    95/199    0.956G   0.02558   0.02131         0   0.04688         8       640    0.9974         1     0.996    0.9418  0.007026  0.008558         0
    96/199    0.956G   0.02789   0.02283         0   0.05072         6       640    0.9974         1    0.9957    0.7883   0.01063   0.01283         0
    97/199    0.956G   0.02742   0.02188         0    0.0493         6       640    0.9974         1    0.9958    0.8144  0.008192   0.01123         0
    98/199    0.956G   0.01972   0.02022         0   0.03994         8       640    0.9974         1    0.9957    0.8894   0.00989   0.01206         0
    99/199    0.956G   0.02362   0.01769         0    0.0413         2       640    0.9973         1    0.9954    0.8414  0.009567   0.01045         0
   100/199    0.956G   0.02502   0.02153         0   0.04655         4       640    0.9974         1    0.9956    0.9516  0.006114  0.009368         0
   101/199    0.956G   0.02368   0.01895         0   0.04263         6       640    0.9974         1    0.9955    0.9407   0.01167    0.0109         0
   102/199    0.956G   0.02947   0.02116         0   0.05063         6       640    0.9974         1    0.9956    0.9162  0.005345  0.008576         0
   103/199    0.956G   0.02876   0.02147         0   0.05023         6       640    0.9973         1    0.9955    0.9877  0.005436  0.008673         0
   104/199    0.956G   0.03359   0.02407         0   0.05766        11       640    0.9974         1    0.9956    0.8827   0.01377   0.01225         0
   105/199    0.956G   0.03061   0.02483         0   0.05544         4       640    0.9974         1    0.9955    0.9052  0.008555   0.01055         0
   106/199    0.956G   0.02497   0.02027         0   0.04524        11       640    0.9974         1    0.9959    0.9748   0.01044   0.01031         0
   107/199    0.956G   0.02549    0.0197         0   0.04519         9       640    0.9974         1    0.9957     0.919  0.007646   0.01025         0
   108/199    0.956G   0.02088   0.01926         0   0.04014         4       640    0.9974         1    0.9957    0.9922  0.005741   0.01017         0
   109/199    0.956G   0.01966   0.02018         0   0.03984         4       640    0.9974         1    0.9956     0.876   0.01099    0.0108         0
   110/199    0.956G   0.02585   0.02352         0   0.04936        16       640    0.9974         1    0.9954    0.9152  0.008371  0.009918         0
   111/199    0.956G   0.02007   0.01909         0   0.03916         6       640    0.9974         1    0.9954    0.9179  0.006347  0.009343         0
   112/199    0.956G   0.02003   0.02269         0   0.04272        12       640    0.9974         1    0.9956    0.8111  0.007412    0.0101         0
   113/199    0.956G   0.01926   0.01863         0   0.03789        12       640    0.9974         1    0.9958    0.8972  0.005169  0.008754         0
   114/199    0.956G   0.01664   0.01994         0   0.03657         4       640    0.9974         1    0.9964    0.8976  0.009343   0.01018         0
   115/199    0.956G   0.02291   0.02093         0   0.04384         4       640    0.9974         1    0.9962    0.8195   0.01226   0.01116         0
   116/199    0.956G   0.02083   0.01926         0   0.04009        12       640    0.9974         1    0.9961    0.8383  0.008707   0.00986         0
   117/199    0.956G   0.01913   0.02099         0   0.04012        12       640    0.9974         1    0.9962    0.9128  0.004843  0.008634         0
   118/199    0.956G   0.02251   0.01864         0   0.04115         8       640    0.9974         1    0.9963    0.9927  0.006521  0.008796         0
   119/199    0.956G   0.02082   0.01789         0   0.03871         4       640    0.9974         1    0.9965    0.9946  0.005808  0.009229         0
   120/199    0.956G   0.02214   0.02029         0   0.04243        12       640    0.9974         1    0.9962     0.983   0.00601  0.009997         0
   121/199    0.956G   0.01869   0.01804         0   0.03673         4       640    0.9974         1    0.9961    0.9114  0.006003  0.008853         0
   122/199    0.956G   0.01716   0.01634         0   0.03351         8       640    0.9974         1    0.9962    0.9899  0.008205  0.009785         0
   123/199    0.956G   0.02088   0.02168         0   0.04256        12       640    0.9974         1    0.9962    0.8167  0.009037   0.01251         0
   124/199    0.956G   0.01896   0.01984         0    0.0388         9       640    0.9974         1    0.9962    0.9077  0.006505   0.01056         0
   125/199    0.956G   0.01587    0.0179         0   0.03378         4       640    0.9974         1    0.9967    0.9885  0.005743  0.008768         0
   126/199    0.956G   0.01662   0.01495         0   0.03158         4       640    0.9974         1    0.9962    0.9002  0.006527   0.01063         0
   127/199    0.956G    0.0149   0.01569         0   0.03058         9       640    0.9974         1    0.9962     0.929  0.004801  0.009317         0
   128/199    0.956G   0.01538   0.01543         0    0.0308         4       640    0.9974         1    0.9963    0.9713  0.008311   0.01014         0
   129/199    0.956G   0.01944   0.01828         0   0.03772         4       640    0.9974         1    0.9963    0.9753   0.00618  0.008675         0
   130/199    0.956G   0.01937   0.01646         0   0.03583         4       640    0.9974         1    0.9966    0.9965  0.006345  0.009034         0
   131/199    0.956G   0.01925   0.01587         0   0.03512         8       640    0.9974         1    0.9964    0.8399  0.008666   0.01048         0
   132/199    0.956G   0.01703   0.01722         0   0.03425         6       640    0.9974         1    0.9964    0.9146  0.004717  0.008961         0
   133/199    0.956G   0.01364   0.01572         0   0.02936         7       640    0.9974         1    0.9967    0.9967  0.005359  0.008501         0
   134/199    0.956G   0.01429   0.01662         0   0.03091         8       640    0.9974         1    0.9969    0.8783  0.006823   0.01006         0
   135/199    0.956G   0.01486   0.01615         0   0.03101        12       640    0.9974         1    0.9965    0.9419  0.004373  0.008694         0
   136/199    0.956G   0.01556    0.0167         0   0.03226         7       640    0.9974         1    0.9966    0.9009  0.009007    0.0103         0
   137/199    0.956G   0.01699   0.01684         0   0.03383         4       640    0.9974         1    0.9967    0.9417  0.005634  0.008819         0
   138/199    0.956G   0.01535   0.01667         0   0.03201        15       640    0.9974         1    0.9968    0.8975  0.007133  0.009351         0
   139/199    0.956G   0.01666   0.01891         0   0.03557         4       640    0.9974         1    0.9968    0.9659  0.004835  0.008412         0
   140/199    0.956G   0.01289   0.01484         0   0.02773         6       640    0.9974         1     0.997     0.997  0.003741  0.008623         0
   141/199    0.956G    0.0125   0.01691         0   0.02942         5       640    0.9974         1     0.997    0.9695  0.005038  0.008176         0
   142/199    0.956G   0.01617   0.01746         0   0.03363        12       640    0.9974         1    0.9968    0.9968  0.003636  0.008558         0
   143/199    0.956G   0.01133   0.01397         0    0.0253         7       640    0.9974         1    0.9969    0.9969  0.004068  0.008428         0
   144/199    0.956G   0.01719   0.01555         0   0.03274         6       640    0.9974         1    0.9965    0.7969   0.01113   0.01169         0
   145/199    0.956G   0.01847   0.01803         0   0.03651        12       640    0.9974         1    0.9966    0.9231  0.006572  0.009172         0
   146/199    0.956G   0.01268   0.01369         0   0.02638         4       640    0.9974         1    0.9969    0.9969  0.006207  0.008762         0
   147/199    0.956G    0.0164   0.01824         0   0.03464        12       640    0.9974         1    0.9968    0.9103   0.00726  0.009258         0
   148/199    0.956G   0.01516   0.01734         0    0.0325         4       640    0.9974         1    0.9969    0.9964  0.004582  0.007986         0
   149/199    0.956G   0.01338   0.01482         0    0.0282         9       640    0.9974         1    0.9969    0.9095  0.006734  0.008582         0
   150/199    0.956G   0.01862   0.01654         0   0.03515         4       640    0.9974         1    0.9969     0.904  0.005126  0.008773         0
   151/199    0.956G   0.01304   0.01667         0    0.0297         6       640    0.9974         1    0.9969    0.9026  0.006199  0.009168         0
   152/199    0.956G   0.01684   0.01907         0   0.03592         8       640    0.9974         1    0.9972    0.9178  0.006338  0.007991         0
   153/199    0.956G   0.01633    0.0165         0   0.03283         3       640    0.9974         1    0.9971    0.9971  0.004082  0.007414         0
   154/199    0.956G   0.01204   0.01437         0   0.02641         9       640    0.9974         1    0.9972    0.9972  0.003853  0.007277         0
   155/199    0.956G    0.0132   0.01613         0   0.02932        16       640    0.9974         1    0.9969    0.9969  0.005137  0.007306         0
   156/199    0.956G   0.01273   0.01413         0   0.02687         7       640    0.9974         1    0.9966    0.9307  0.004477  0.007248         0
   157/199    0.956G   0.01189   0.01347         0   0.02536        11       640    0.9974         1    0.9968    0.9097  0.006442  0.007866         0
   158/199    0.956G   0.01437    0.0168         0   0.03116        11       640    0.9974         1    0.9963    0.9363  0.004244  0.006992         0
   159/199    0.956G   0.01141   0.01552         0   0.02693         4       640    0.9974         1    0.9968    0.9904  0.003753  0.006608         0
   160/199    0.956G   0.01173   0.01482         0   0.02656         6       640    0.9974         1     0.997     0.997   0.00516  0.007704         0
   161/199    0.956G    0.0111   0.01514         0   0.02624         8       640    0.9974         1    0.9977    0.9523  0.002964  0.006465         0
   162/199    0.956G   0.01022   0.01417         0   0.02439        15       640    0.9974         1    0.9979    0.9979  0.004487  0.007063         0
   163/199    0.956G   0.01239   0.01405         0   0.02643         4       640    0.9974         1    0.9976    0.9756  0.004758  0.007765         0
   164/199    0.956G  0.009929   0.01527         0    0.0252         4       640    0.9974         1    0.9976    0.9976  0.003617  0.006769         0
   165/199    0.956G  0.009536   0.01313         0   0.02267        12       640    0.9974         1    0.9976    0.9969  0.004075  0.006629         0
   166/199    0.956G   0.01335   0.01328         0   0.02663        11       640    0.9974         1    0.9976    0.9648  0.003522  0.006535         0
   167/199    0.956G   0.01008   0.01364         0   0.02373        10       640    0.9974         1    0.9979    0.9979   0.00267  0.006101         0
   168/199    0.956G   0.01033    0.0119         0   0.02223         2       640    0.9974         1    0.9982    0.9982  0.004925   0.00725         0
   169/199    0.956G   0.01199   0.01265         0   0.02464         7       640    0.9974         1    0.9986    0.9986  0.003646  0.006505         0
   170/199    0.956G   0.01137   0.01296         0   0.02432        10       640    0.9974         1    0.9986    0.9986   0.00371  0.006895         0
   171/199    0.956G   0.01155   0.01257         0   0.02412         7       640    0.9974         1    0.9987     0.945  0.005533   0.00814         0
   172/199    0.956G   0.01133   0.01402         0   0.02535         9       640    0.9974         1    0.9987    0.9987  0.004697  0.007441         0
